customer_id,full_name,email,phone_e164,dob,kyc_level,country,created_at
019b337d-4ad2-4303-9491-f968a3e42788,Chris Curtis,nicholsonclinton@example.net,8301661318609,1958-06-06,STANDARD,DE,2025-07-20T18:08:50Z
138d22e9-0123-4c67-ae21-51647ed564eb,Lydia Aguilar,rayrandy@example.org,8246281948219,1988-11-15,ENHANCED,US,2025-12-08T21:00:08Z
0a04bcb1-f774-4084-9000-dd747fe9aa36,Jacqueline Kelley,elliottchristine@example.com,5797543231948,1983-09-12,BASIC,AE,2025-06-28T02:25:15Z
fbc69e96-3148-4889-a49a-f27ef21539f8,Monica Roberts,wilsonrobert@example.com,7601895559797,1954-09-07,BASIC,SG,2025-09-14T22:16:28Z
3c1020ea-2500-43e1-b8d7-72b03a3ee749,Theresa Wells,brownjacqueline@example.net,4650752917034,1958-10-21,BASIC,US,2025-06-01T21:05:46Z
74bec54b-ebdd-4a1e-8948-a7faa6e10039,Jennifer Rangel,cmiller@example.com,2684656321223,1994-10-25,BASIC,FR,2025-03-25T08:11:00Z
b45bfcda-d8bb-4c87-920b-70d1970287d5,John Lawrence,julian26@example.net,9952890786666,1957-01-18,BASIC,DE,2025-03-18T19:07:56Z
bc79939b-0c65-49ef-a87b-14e1df6b6fab,Mr. Connor Rollins,vmartin@example.net,1092815901396,1960-02-11,BASIC,AE,2025-02-14T02:24:48Z
83d4ef72-a326-4ec9-817d-d31232bfbc07,Tina Guzman,fmartinez@example.com,7412154728038,1974-08-15,BASIC,IN,2025-03-08T09:11:49Z
4169e8c0-b1bd-4f4c-91aa-14c319820523,Joshua Johnson,tiffany14@example.net,2538885393363,1963-08-10,BASIC,GB,2025-12-09T03:22:19Z
c49fc3ed-7ee0-468d-8dd9-1bc782de7363,Heather Johnson,tylerthomas@example.org,7551313735379,1991-07-14,ENHANCED,US,2025-06-01T18:23:15Z
2c654a6c-83e5-4b3a-a161-03e793b12a9b,Karen Delgado,davenportdavid@example.com,7265167612220,1960-04-15,ENHANCED,FR,2025-03-15T12:24:29Z
060132ed-b9d1-4ec4-875b-16c2d86a819d,Julie Rios,wsandoval@example.org,0018263304348,1966-05-16,BASIC,AE,2025-01-17T17:03:34Z
cbe07a7a-3026-44f5-b815-ee2c1215fcfa,Erika Stephens,brucesingh@example.com,8282880729022,1959-08-21,BASIC,GB,2025-03-15T00:22:39Z
aeca5740-d94f-4bf9-b67f-2fc6a4f1c8b5,Neil Hawkins,faith88@example.com,8033401878017,1972-02-29,ENHANCED,US,2025-11-13T03:41:49Z
