customer_id,full_name,email,phone_e164,dob,kyc_level,country,created_at
927f1fcb-451c-4255-8dd1-f6f20065d907,Chris Curtis,nicholsonclinton@example.net,8301661318609,1958-06-04,STANDARD,DE,2025-07-19T00:06:50Z
9eb69e6a-0c51-4ce8-b7f1-c0ec9b72b564,Lydia Aguilar,rayrandy@example.org,8246281948219,1988-11-13,ENHANCED,US,2025-12-07T02:58:08Z
b31ea9fd-9af9-4d1c-b937-72aacaad13e1,Jacqueline Kelley,elliottchristine@example.com,5797543231948,1983-09-10,BASIC,AE,2025-06-26T08:23:15Z
353e5ddb-55fa-42ad-8034-4fe674e46a83,Monica Roberts,wilsonrobert@example.com,7601895559797,1954-09-05,BASIC,SG,2025-09-13T04:14:28Z
924aabbe-3dfe-4f60-92b8-82b01c9a1437,Theresa Wells,brownjacqueline@example.net,4650752917034,1958-10-19,BASIC,US,2025-05-31T03:03:46Z
4f47688c-a924-43ed-a80a-6f04a3177fb6,Jennifer Rangel,cmiller@example.com,2684656321223,1994-10-23,BASIC,FR,2025-03-23T14:09:00Z
36195b29-b06d-4194-b7ab-98a3b4566b1b,John Lawrence,julian26@example.net,9952890786666,1957-01-16,BASIC,DE,2025-03-17T01:05:56Z
1f0bcdd9-8150-465e-b9ef-db890aa84df0,Mr. Connor Rollins,vmartin@example.net,1092815901396,1960-02-09,BASIC,AE,2025-02-12T08:22:48Z
a272a72d-9d6f-41c6-8220-452771c2c158,Tina Guzman,fmartinez@example.com,7412154728038,1974-08-13,BASIC,IN,2025-03-06T15:09:49Z
a3c4afd7-9665-4349-8750-96fe5d76c9c9,Joshua Johnson,tiffany14@example.net,2538885393363,1963-08-08,BASIC,GB,2025-12-07T09:20:19Z
fb8321d6-646a-49b6-ac1f-0cc54325af81,Heather Johnson,tylerthomas@example.org,7551313735379,1991-07-12,ENHANCED,US,2025-05-31T00:21:15Z
501d35e5-ccd5-4b8d-abeb-da70c5b9eba1,Karen Delgado,davenportdavid@example.com,7265167612220,1960-04-13,ENHANCED,FR,2025-03-13T18:22:29Z
a0bd5a1f-747e-4f85-b387-70746fd7d828,Julie Rios,wsandoval@example.org,0018263304348,1966-05-14,BASIC,AE,2025-01-15T23:01:34Z
13936b1b-325a-4cb2-aafd-b5efa5ea59c8,Erika Stephens,brucesingh@example.com,8282880729022,1959-08-19,BASIC,GB,2025-03-13T06:20:39Z
2fb84646-9030-4f59-9716-f1912625b320,Neil Hawkins,faith88@example.com,8033401878017,1972-02-27,ENHANCED,US,2025-11-11T09:39:49Z
a68ada44-2a70-4a09-8cc9-ca5c1c7faeeb,Kathy Hunt,shaun87@example.net,8483726167513,1979-02-23,ENHANCED,IN,2025-03-18T03:26:10Z
77ed4c90-8081-44b1-b156-781c229acfc7,Michael Bowers,sheilaschneider@example.com,4273167232686,1973-01-27,STANDARD,FR,2025-04-20T10:14:49Z
803d35e7-d1ed-40f7-8d3a-d1202c8f9530,Howard Davis,andrew87@example.com,6589481131144,1952-09-09,ENHANCED,SG,2025-07-23T12:39:15Z
3dd48bb2-e906-4337-bc38-17abb0117fbc,Catherine Campos,ratkinson@example.com,2889751402614,1951-02-22,BASIC,FR,2025-06-28T18:41:31Z
81e03a0b-8838-40be-90bb-64a25434e1f5,Rebecca Miller,carlroy@example.com,5864920831240,1962-04-29,BASIC,AE,2025-09-29T20:43:08Z
fe71d0b3-0e2a-4ce6-ad21-adc02bf4275e,Eric Torres,kellyporter@example.org,5040008838737,1957-03-25,STANDARD,GB,2025-07-30T10:29:04Z
ba29ed94-0523-4055-ab1b-1b0492aa9904,Marie Douglas,twaller@example.net,3532650201462,1953-10-08,ENHANCED,US,2025-05-15T19:07:22Z
